mux_type,k_min,density,rep,N,N_gcc,giant_fraction
no_mux,100.0,0.0004320238955569227,31,1000,291.0,0.291
no_mux,100.0,0.0004320238955569227,32,1000,149.0,0.149
no_mux,100.0,0.0004320238955569227,33,1000,208.0,0.208
no_mux,100.0,0.0004320238955569227,34,1000,285.0,0.285
no_mux,100.0,0.0004320238955569227,35,1000,160.0,0.16
no_mux,100.0,0.0004320238955569227,36,1000,173.0,0.173
no_mux,100.0,0.0004320238955569227,37,1000,196.0,0.196
no_mux,100.0,0.0004320238955569227,38,1000,313.0,0.313
no_mux,100.0,0.0004320238955569227,39,1000,173.0,0.173
no_mux,100.0,0.0005039684199579492,0,1000,260.0,0.26
no_mux,100.0,0.0005039684199579492,1,1000,130.0,0.13
no_mux,100.0,0.0005039684199579492,2,1000,284.0,0.284
no_mux,100.0,0.0005039684199579492,3,1000,363.0,0.363
no_mux,100.0,0.0005039684199579492,4,1000,348.0,0.348
no_mux,100.0,0.0005039684199579492,5,1000,227.0,0.227
no_mux,100.0,0.0005039684199579492,6,1000,267.0,0.267
no_mux,100.0,0.0005039684199579492,7,1000,223.0,0.223
no_mux,100.0,0.0005039684199579492,8,1000,337.0,0.337
no_mux,100.0,0.0005039684199579492,9,1000,248.0,0.248
no_mux,100.0,0.0005039684199579492,10,1000,226.0,0.226
no_mux,100.0,0.0005039684199579492,11,1000,390.0,0.39
no_mux,100.0,0.0005039684199579492,12,1000,298.0,0.298
no_mux,100.0,0.0005039684199579492,13,1000,374.0,0.374
no_mux,100.0,0.0005039684199579492,14,1000,436.0,0.436
no_mux,100.0,0.0005039684199579492,15,1000,360.0,0.36
no_mux,100.0,0.0005039684199579492,16,1000,310.0,0.31
no_mux,100.0,0.0005039684199579492,17,1000,513.0,0.513
no_mux,100.0,0.0005039684199579492,18,1000,688.0,0.688
no_mux,100.0,0.0005039684199579492,19,1000,184.0,0.184
no_mux,100.0,0.0005039684199579492,20,1000,364.0,0.364
no_mux,100.0,0.0005039684199579492,21,1000,161.0,0.161
no_mux,100.0,0.0005039684199579492,22,1000,238.0,0.238
no_mux,100.0,0.0005039684199579492,23,1000,372.0,0.372
no_mux,100.0,0.0005039684199579492,24,1000,454.0,0.454
no_mux,100.0,0.0005039684199579492,25,1000,592.0,0.592
no_mux,100.0,0.0005039684199579492,26,1000,355.0,0.355
no_mux,100.0,0.0005039684199579492,27,1000,158.0,0.158
no_mux,100.0,0.0005039684199579492,28,1000,299.0,0.299
no_mux,100.0,0.0005039684199579492,29,1000,413.0,0.413
no_mux,100.0,0.0005039684199579492,30,1000,559.0,0.559
no_mux,100.0,0.0005039684199579492,31,1000,553.0,0.553
no_mux,100.0,0.0005039684199579492,32,1000,320.0,0.32
no_mux,100.0,0.0005039684199579492,33,1000,196.0,0.196
no_mux,100.0,0.0005039684199579492,34,1000,169.0,0.169
no_mux,100.0,0.0005039684199579492,35,1000,221.0,0.221
no_mux,100.0,0.0005039684199579492,36,1000,385.0,0.385
no_mux,100.0,0.0005039684199579492,37,1000,406.0,0.406
no_mux,100.0,0.0005039684199579492,38,1000,607.0,0.607
no_mux,100.0,0.0005039684199579492,39,1000,337.0,0.337
no_mux,100.0,0.0005878937969102398,0,1000,401.0,0.401
no_mux,100.0,0.0005878937969102398,1,1000,232.0,0.232
no_mux,100.0,0.0005878937969102398,2,1000,249.0,0.249
no_mux,100.0,0.0005878937969102398,3,1000,737.0,0.737
no_mux,100.0,0.0005878937969102398,4,1000,420.0,0.42
no_mux,100.0,0.0005878937969102398,5,1000,624.0,0.624
no_mux,100.0,0.0005878937969102398,6,1000,386.0,0.386
no_mux,100.0,0.0005878937969102398,7,1000,455.0,0.455
no_mux,100.0,0.0005878937969102398,8,1000,311.0,0.311
no_mux,100.0,0.0005878937969102398,9,1000,711.0,0.711
no_mux,100.0,0.0005878937969102398,10,1000,262.0,0.262
no_mux,100.0,0.0005878937969102398,11,1000,602.0,0.602
no_mux,100.0,0.0005878937969102398,12,1000,312.0,0.312
no_mux,100.0,0.0005878937969102398,13,1000,198.0,0.198
no_mux,100.0,0.0005878937969102398,14,1000,453.0,0.453
no_mux,100.0,0.0005878937969102398,15,1000,277.0,0.277
no_mux,100.0,0.0005878937969102398,16,1000,459.0,0.459
no_mux,100.0,0.0005878937969102398,17,1000,313.0,0.313
no_mux,100.0,0.0005878937969102398,18,1000,177.0,0.177
no_mux,100.0,0.0005878937969102398,19,1000,521.0,0.521
no_mux,100.0,0.0005878937969102398,20,1000,418.0,0.418
no_mux,100.0,0.0005878937969102398,21,1000,263.0,0.263
no_mux,100.0,0.0005878937969102398,22,1000,722.0,0.722
no_mux,100.0,0.0005878937969102398,23,1000,281.0,0.281
no_mux,100.0,0.0005878937969102398,24,1000,529.0,0.529
no_mux,100.0,0.0005878937969102398,25,1000,346.0,0.346
no_mux,100.0,0.0005878937969102398,26,1000,465.0,0.465
no_mux,100.0,0.0005878937969102398,27,1000,340.0,0.34
no_mux,100.0,0.0005878937969102398,28,1000,381.0,0.381
no_mux,100.0,0.0005878937969102398,29,1000,664.0,0.664
no_mux,100.0,0.0005878937969102398,30,1000,646.0,0.646
no_mux,100.0,0.0005878937969102398,31,1000,381.0,0.381
no_mux,100.0,0.0005878937969102398,32,1000,213.0,0.213
no_mux,100.0,0.0005878937969102398,33,1000,407.0,0.407
no_mux,100.0,0.0005878937969102398,34,1000,641.0,0.641
no_mux,100.0,0.0005878937969102398,35,1000,230.0,0.23
no_mux,100.0,0.0005878937969102398,36,1000,381.0,0.381
no_mux,100.0,0.0005878937969102398,37,1000,722.0,0.722
no_mux,100.0,0.0005878937969102398,38,1000,135.0,0.135
no_mux,100.0,0.0005878937969102398,39,1000,584.0,0.584
no_mux,100.0,0.0006857951862824582,0,1000,716.0,0.716
no_mux,100.0,0.0006857951862824582,1,1000,608.0,0.608
no_mux,100.0,0.0006857951862824582,2,1000,210.0,0.21
no_mux,100.0,0.0006857951862824582,3,1000,595.0,0.595
no_mux,100.0,0.0006857951862824582,4,1000,592.0,0.592
no_mux,100.0,0.0006857951862824582,5,1000,600.0,0.6
no_mux,100.0,0.0006857951862824582,6,1000,655.0,0.655
no_mux,100.0,0.0006857951862824582,7,1000,800.0,0.8
no_mux,100.0,0.0006857951862824582,8,1000,578.0,0.578
no_mux,100.0,0.0006857951862824582,9,1000,391.0,0.391
no_mux,100.0,0.0006857951862824582,10,1000,532.0,0.532
no_mux,100.0,0.0006857951862824582,11,1000,838.0,0.838
no_mux,100.0,0.0006857951862824582,12,1000,713.0,0.713
no_mux,100.0,0.0006857951862824582,13,1000,228.0,0.228
no_mux,100.0,0.0006857951862824582,14,1000,641.0,0.641
no_mux,100.0,0.0006857951862824582,15,1000,693.0,0.693
no_mux,100.0,0.0006857951862824582,16,1000,348.0,0.348
no_mux,100.0,0.0006857951862824582,17,1000,335.0,0.335
no_mux,100.0,0.0006857951862824582,18,1000,773.0,0.773
no_mux,100.0,0.0006857951862824582,19,1000,726.0,0.726
no_mux,100.0,0.0006857951862824582,20,1000,278.0,0.278
no_mux,100.0,0.0006857951862824582,21,1000,499.0,0.499
no_mux,100.0,0.0006857951862824582,22,1000,812.0,0.812
no_mux,100.0,0.0006857951862824582,23,1000,304.0,0.304
no_mux,100.0,0.0006857951862824582,24,1000,404.0,0.404
no_mux,100.0,0.0006857951862824582,25,1000,249.0,0.249
no_mux,100.0,0.0006857951862824582,26,1000,786.0,0.786
no_mux,100.0,0.0006857951862824582,27,1000,819.0,0.819
