mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
no_mux,100,1,0.0016768329368110084,6,1000,40.15931715453136,0.23919534133315332,0.64120698800027,147.46525832857293,0.010980980980980982
no_mux,100,1,0.0016768329368110084,7,1000,22.145399924201758,0.31596247292503515,0.5260562906124473,91.86077862173224,0.017397397397397398
no_mux,100,1,0.0016768329368110084,8,1000,28.541997427619393,0.2528257517367961,0.6207613723948058,114.88778214463255,0.015475475475475476
no_mux,100,1,0.0016768329368110084,9,1000,37.604509969864054,0.24027071644409928,0.6395939253338511,145.3714223480919,0.012802802802802802
no_mux,100,1,0.0021209508879201904,0,1000,32.11592596767213,0.2195628899810864,0.6706556650283704,137.5653291807368,0.022782782782782784
no_mux,100,1,0.0021209508879201904,1,1000,29.985801121858813,0.24303988462702886,0.6354401730594567,125.28795216273302,0.016686686686686686
no_mux,100,1,0.0021209508879201904,2,1000,22.75173942672956,0.2940192218291684,0.5589711672562473,95.49388109093209,0.01896896896896897
no_mux,100,1,0.0021209508879201904,3,1000,8.479148386637924,0.3468751884637709,0.4796872173043436,45.72050525454985,0.02015015015015015
no_mux,100,1,0.0021209508879201904,4,1000,30.766064613080097,0.2490123725053126,0.626481441242031,132.30616697066057,0.01792792792792793
no_mux,100,1,0.0021209508879201904,5,1000,46.19586774442004,0.2058699483572675,0.6911950774640988,179.1501234255364,0.014994994994994995
no_mux,100,1,0.0021209508879201904,6,1000,24.799395394511905,0.2656546952001085,0.6015179571998374,109.96405937474422,0.01960960960960961
no_mux,100,1,0.0021209508879201904,7,1000,24.825454176985353,0.27776144897942134,0.583357826530868,104.44581748863621,0.0190990990990991
no_mux,100,1,0.0021209508879201904,8,1000,11.22857738364673,0.3312735095659127,0.5030897356511309,56.039755119539116,0.02046046046046046
no_mux,100,1,0.0021209508879201904,9,1000,12.691261496194818,0.31432570960836365,0.5285114355874546,62.94348496470845,0.019189189189189187
no_mux,100,1,0.002682695795279727,0,1000,8.12248069346622,0.3360231911200693,0.4959652133198961,45.94294157607721,0.024924924924924926
no_mux,100,1,0.002682695795279727,1,1000,6.695699118074987,0.34285817437805255,0.4857127384329212,42.02907205924968,0.024954954954954953
no_mux,100,1,0.002682695795279727,2,1000,6.468117562801532,0.36371910422394393,0.4544213436640841,37.12967638296904,0.024004004004004004
no_mux,100,1,0.002682695795279727,3,1000,12.843151077183574,0.3489611808332127,0.476558228750181,58.06958037494372,0.02077077077077077
no_mux,100,1,0.002682695795279727,4,1000,9.293824225848144,0.3319202152323226,0.5021196771515161,52.55878487702032,0.027117117117117118
no_mux,100,1,0.002682695795279727,5,1000,13.083783398778401,0.35675439461663416,0.4648684080750488,60.21088826242701,0.023773773773773772
no_mux,100,1,0.002682695795279727,6,1000,7.507429865415426,0.3352085102842064,0.49718723457369046,44.15816762673147,0.025215215215215216
no_mux,100,1,0.002682695795279727,7,1000,10.215726033213496,0.32839739212931446,0.5074039118060284,52.615604509437695,0.024934934934934934
no_mux,100,1,0.002682695795279727,8,1000,31.94128159983811,0.242261983083252,0.636607025375122,134.75335131827285,0.016206206206206206
no_mux,100,1,0.002682695795279727,9,1000,11.625804643251636,0.32495785631697677,0.5125632155245349,59.28458673910941,0.0308008008008008
no_mux,100,1,0.00339322177189533,0,1000,7.409825510141039,0.3408121206584267,0.48878181901236,44.25969383691294,0.03158158158158158
no_mux,100,1,0.00339322177189533,1,1000,10.123680977973518,0.31653789833311613,0.5251931525003258,55.655244122444195,0.031381381381381385
no_mux,100,1,0.00339322177189533,2,1000,10.710148384061547,0.31640002289553343,0.5253999656566999,58.88723990732402,0.032682682682682686
no_mux,100,1,0.00339322177189533,3,1000,9.63384170862234,0.3536021485055138,0.4695967772417293,48.95618863401427,0.026866866866866866
no_mux,100,1,0.00339322177189533,4,1000,8.232976056797993,0.3497099182378275,0.4754351226432587,45.1672718912192,0.02890890890890891
no_mux,100,1,0.00339322177189533,5,1000,7.094915129402142,0.30978050720624756,0.5353292391906286,46.81241922871613,0.03135135135135135
no_mux,100,1,0.00339322177189533,6,1000,7.602693638726274,0.32419415168318166,0.5137087724752275,45.55906058898586,0.03089089089089089
no_mux,100,1,0.00339322177189533,7,1000,7.389820308484232,0.328883556719592,0.506674664920612,45.98854928473235,0.028308308308308307
no_mux,100,1,0.00339322177189533,8,1000,6.743059515242189,0.3449981888605511,0.48250271670917333,41.64654668743788,0.03151151151151151
no_mux,100,1,0.00339322177189533,9,1000,7.013129659559102,0.332281106635986,0.501578340046021,44.046759830985664,0.027367367367367366
no_mux,100,1,0.004291934260128779,0,1000,9.778005547683644,0.2913610415678749,0.5629584376481878,59.95623364731621,0.04369369369369369
no_mux,100,1,0.004291934260128779,1,1000,8.945010502194117,0.2977586983275956,0.5533619525086065,57.81993560391072,0.043053053053053056
no_mux,100,1,0.004291934260128779,2,1000,9.003078356541822,0.29763817790582653,0.5535427331412602,56.152390421596394,0.03137137137137137
no_mux,100,1,0.004291934260128779,3,1000,8.887450148750423,0.29835341866265774,0.5524698720060134,58.075500547709424,0.04167167167167167
no_mux,100,1,0.004291934260128779,4,1000,9.55471533253475,0.2970868080714974,0.5543697878927538,60.86404593097508,0.04013013013013013
no_mux,100,1,0.004291934260128779,5,1000,9.132747309795256,0.311166381840556,0.533250427239166,53.69900476204063,0.03834834834834835
no_mux,100,1,0.004291934260128779,6,1000,9.013155278691816,0.2721632776031675,0.5917550835952486,60.145693282546326,0.0503003003003003
no_mux,100,1,0.004291934260128779,7,1000,9.66524447105911,0.3139791440463298,0.5290312839305052,56.89629283162748,0.04393393393393393
no_mux,100,1,0.004291934260128779,8,1000,16.228156749688843,0.25259552071951424,0.6211067189207287,89.22376315708948,0.044144144144144144
