param,param_value,mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
P_BSM,0.8714285714285716,no_mux,100,1,1.0,2,1000,254.14190268263116,0.0620976681113309,0.9068534978330037,1203.1904288101202,0.9963163163163163
P_BSM,1.0,no_mux,100,1,1.0,2,1000,316.2466966904219,0.06229296020151023,0.9065605596977347,1552.3033243765049,0.9956576576576577
T_coh,0.01,no_mux,100,1,1.0,2,1000,226.5299696048229,0.08011705828833832,0.8798244125674926,1521.3281539275781,0.9200860860860861
T_coh,0.02682695795279726,no_mux,100,1,1.0,2,1000,293.55018812774244,0.06644083903997962,0.9003387414400306,1539.4719678393246,0.9936216216216216
T_coh,0.07196856730011521,no_mux,100,1,1.0,2,1000,327.73391202958135,0.06046896935634215,0.9092965459654868,1559.0915082565573,0.9966246246246246
T_coh,0.19306977288832497,no_mux,100,1,1.0,2,1000,340.5571667381102,0.05831846974622073,0.9125222953806689,1565.85467315571,0.9997237237237238
T_coh,0.517947467923121,no_mux,100,1,1.0,2,1000,342.964818468083,0.057969475836039834,0.9130457862459402,1568.2444366963616,0.9994874874874875
T_coh,1.3894954943731375,no_mux,100,1,1.0,2,1000,342.4289875213866,0.0576014221802569,0.9135978667296146,1559.4956183542986,0.9995855855855856
T_coh,3.727593720314938,no_mux,100,1,1.0,2,1000,340.7974451189355,0.057812890521905934,0.913280664217141,1558.129330644945,0.9997557557557557
T_coh,10.0,no_mux,100,1,1.0,2,1000,349.15632859771745,0.05710289935238553,0.9143456509714217,1574.4289145271389,0.9996076076076076
eta_total,0.03,no_mux,100,1,1.0,2,1000,0.0,,,0.0,0.0
eta_total,0.09714285714285714,no_mux,100,1,1.0,2,1000,7.463206861280385,0.11760068251583924,0.8235989762262412,101.48742756963473,0.4062922922922923
eta_total,0.16428571428571428,no_mux,100,1,1.0,2,1000,44.39148201562924,0.08029018008766912,0.8795647298684963,301.39686560075256,0.9207207207207208
eta_total,0.23142857142857143,no_mux,100,1,1.0,2,1000,112.58385752804841,0.06864193640984968,0.8970370953852255,612.4067375613397,0.986022022022022
eta_total,0.2985714285714286,no_mux,100,1,1.0,2,1000,198.71498570736142,0.06494224331052273,0.9025866350342158,1015.1290365162099,0.9948888888888889
eta_total,0.36571428571428577,no_mux,100,1,1.0,2,1000,316.13277542908367,0.06208604139662201,0.906870937905067,1543.993594746552,0.9957417417417418
eta_total,0.43285714285714283,no_mux,100,1,1.0,2,1000,450.0660910368594,0.061055473927997435,0.9084167891080037,2159.7859221780286,0.9957757757757758
eta_total,0.5,no_mux,100,1,1.0,2,1000,600.3285384561112,0.06046236722007073,0.9093064491698939,2861.461653860072,0.9982882882882883
alpha,0.14,no_mux,100,1,1.0,2,1000,363.834188935664,0.06157619205530472,0.907635711917043,1772.9760541485928,0.9958998998998999
alpha,0.15142857142857144,no_mux,100,1,1.0,2,1000,347.2001817565796,0.061891564722704615,0.9071626529159431,1700.5236272838117,0.9952132132132132
alpha,0.16285714285714287,no_mux,100,1,1.0,2,1000,340.25904691190465,0.06138636193863185,0.9079204570920523,1650.837228537991,0.9966086086086086
alpha,0.1742857142857143,no_mux,100,1,1.0,2,1000,325.06788608211247,0.06216304767396799,0.906755428489048,1586.8643960719442,0.9950070070070071
alpha,0.18571428571428572,no_mux,100,1,1.0,2,1000,313.05812125124555,0.06210275347592519,0.9068458697861123,1527.2048902769495,0.9958218218218218
alpha,0.19714285714285715,no_mux,100,1,1.0,2,1000,293.42403507863986,0.06328340509675091,0.9050748923548737,1460.2902441374729,0.9949089089089089
alpha,0.20857142857142857,no_mux,100,1,1.0,2,1000,288.6290471480389,0.06271598336027691,0.9059260249595846,1416.5967324216856,0.996062062062062
alpha,0.22,no_mux,100,1,1.0,2,1000,272.30536429297933,0.06350237367166672,0.9047464394924999,1356.8272642770762,0.9956396396396396
V,0.8,no_mux,100,1,1.0,2,1000,4.948036679663961,0.20320934580891323,0.6951859812866302,1209.5124610417963,0.004298298298298298
V,0.8271428571428572,no_mux,100,1,1.0,2,1000,6.698801012026002,0.18032743145421848,0.7295088528186723,1273.100775113554,0.06307707707707708
V,0.8542857142857143,no_mux,100,1,1.0,2,1000,20.54705859092588,0.1574424145717894,0.763836378142316,1313.8715745708282,0.09454054054054054
V,0.8814285714285715,no_mux,100,1,1.0,2,1000,36.17757222564073,0.13249754101910685,0.8012536884713396,1376.440707465654,0.09422022022022022
V,0.9085714285714286,no_mux,100,1,1.0,2,1000,103.14185467457875,0.10561876578243552,0.8415718513263468,1458.5667939843895,0.47803603603603606
V,0.9357142857142857,no_mux,100,1,1.0,2,1000,219.7228221585615,0.07840617507069747,0.8823907373939538,1503.0523553318649,0.9589909909909909
V,0.9628571428571429,no_mux,100,1,1.0,2,1000,406.57062295777325,0.04834046038531083,0.9274893094220338,1576.7192739395464,0.999991991991992
V,0.99,no_mux,100,1,1.0,2,1000,659.5392254489865,0.017021081059684504,0.9744683784104733,1664.7815695598906,1.0
